iter	Passed	Remaining
413	3157	4469
414	3164	4461
415	3171	4452
416	3178	4444
417	3185	4435
418	3193	4427
419	3200	4419
420	3207	4411
421	3214	4402
422	3221	4394
423	3228	4386
424	3236	4378
425	3242	4368
426	3249	4360
427	3257	4353
428	3264	4345
429	3271	4336
430	3278	4328
431	3285	4319
432	3292	4311
433	3299	4303
434	3306	4295
435	3313	4286
436	3320	4278
437	3327	4270
438	3334	4261
439	3342	4253
440	3349	4245
441	3356	4236
442	3363	4228
443	3370	4220
444	3377	4212
445	3384	4204
446	3391	4195
447	3399	4188
448	3407	4181
449	3414	4173
450	3421	4165
451	3428	4156
452	3435	4148
453	3443	4140
454	3450	4132
455	3456	4123
456	3464	4116
457	3471	4107
458	3478	4099
459	3485	4091
460	3492	4083
461	3500	4075
462	3507	4067
463	3514	4059
464	3521	4051
465	3528	4043
466	3535	4035
467	3542	4027
468	3549	4018
469	3557	4011
470	3565	4004
471	3573	3997
472	3581	3990
473	3588	3981
474	3595	3973
475	3602	3965
476	3609	3957
477	3616	3949
478	3623	3941
479	3632	3934
480	3640	3927
481	3647	3919
482	3654	3911
483	3661	3903
484	3669	3896
485	3676	3888
486	3683	3880
487	3690	3872
488	3698	3864
489	3705	3856
490	3712	3848
491	3719	3840
492	3726	3832
493	3734	3824
494	3741	3816
495	3748	3808
496	3756	3801
497	3763	3794
498	3770	3785
499	3777	3777
500	3784	3769
501	3791	3761
502	3799	3753
503	3806	3745
504	3813	3738
505	3821	3730
506	3828	3722
507	3835	3714
508	3842	3706
509	3849	3698
510	3856	3690
511	3863	3682
512	3870	3674
513	3878	3666
514	3885	3658
515	3893	3652
516	3900	3644
517	3907	3636
518	3914	3628
519	3921	3620
520	3928	3612
521	3935	3604
522	3943	3596
523	3950	3588
524	3959	3582
525	3968	3575
526	3976	3569
527	3984	3562
528	3992	3555
529	3999	3547
530	4008	3540
531	4016	3533
532	4025	3527
533	4033	3520
534	4042	3513
535	4051	3506
536	4059	3499
537	4067	3493
538	4074	3485
539	4081	3476
540	4088	3468
541	4095	3461
542	4102	3452
543	4109	3444
544	4116	3437
545	4123	3428
546	4131	3421
547	4139	3414
548	4146	3406
549	4153	3398
550	4160	3390
551	4167	3382
552	4174	3374
553	4182	3367
554	4189	3359
555	4196	3351
556	4204	3343
557	4211	3335
558	4218	3328
559	4225	3320
560	4232	3312
561	4240	3304
562	4247	3296
563	4254	3288
564	4261	3280
565	4268	3272
566	4275	3265
567	4282	3257
568	4289	3249
569	4297	3241
570	4304	3234
571	4311	3226
572	4318	3218
573	4325	3210
574	4333	3202
575	4339	3194
576	4346	3186
577	4353	3178
578	4360	3170
579	4367	3162
580	4374	3154
581	4381	3146
582	4390	3140
583	4399	3133
584	4408	3127
585	4416	3120
586	4423	3112
587	4430	3104
588	4437	3096
589	4444	3088
590	4452	3081
591	4459	3073
592	4467	3065
593	4473	3057
594	4481	3050
595	4488	3042
596	4495	3034
597	4502	3027
598	4509	3019
599	4517	3011
600	4524	3003
601	4531	2995
602	4539	2988
603	4545	2980
604	4552	2972
605	4559	2964
606	4567	2957
607	4574	2949
608	4582	2941
609	4588	2933
610	4595	2925
611	4602	2918
612	4610	2910
613	4617	2902
614	4624	2895
615	4631	2887
616	4639	2879
617	4646	2872
618	4653	2864
619	4661	2857
620	4668	2849
621	4675	2841
622	4684	2834
623	4693	2828
624	4702	2821
625	4710	2814
626	4719	2807
627	4726	2799
628	4733	2792
629	4742	2785
630	4750	2777
631	4758	2770
632	4765	2762
633	4773	2755
634	4780	2747
635	4788	2740
636	4795	2732
637	4802	2725
638	4809	2717
639	4816	2709
640	4824	2701
641	4831	2694
642	4838	2686
643	4845	2678
644	4852	2671
645	4860	2663
646	4867	2655
647	4874	2647
648	4882	2640
649	4890	2633
650	4897	2625
651	4904	2617
652	4911	2609
653	4918	2602
654	4925	2594
655	4932	2586
656	4940	2579
657	4948	2572
658	4957	2565
659	4965	2557
660	4973	2550
661	4981	2543
662	4990	2536
663	4998	2529
664	5006	2522
665	5015	2515
666	5023	2508
667	5031	2500
668	5041	2494
669	5049	2487
670	5058	2480
671	5066	2473
672	5074	2465
673	5083	2458
674	5091	2451
675	5099	2444
676	5108	2437
677	5116	2430
678	5125	2423
679	5132	2415
