iter	Passed	Remaining
357	12223	21919
358	12233	21842
359	12244	21767
360	12255	21692
361	12265	21616
362	12276	21542
363	12287	21469
364	12298	21395
365	12308	21321
366	12318	21247
367	12329	21174
368	12340	21102
369	12350	21029
370	12361	20958
371	12371	20885
372	12382	20814
373	12393	20743
374	12403	20672
375	12414	20602
376	12425	20533
377	12435	20463
378	12446	20393
379	12458	20327
380	12469	20259
381	12481	20192
382	12491	20122
383	12501	20054
384	12511	19986
385	12522	19919
386	12532	19851
387	12543	19784
388	12553	19718
389	12564	19651
390	12574	19586
391	12585	19519
392	12595	19454
393	12606	19389
394	12616	19324
395	12627	19259
396	12637	19195
397	12648	19131
398	12658	19066
399	12668	19002
400	12680	18941
401	12690	18878
402	12701	18816
403	12711	18752
404	12723	18692
405	12734	18630
406	12744	18568
407	12755	18507
408	12766	18447
409	12776	18386
410	12787	18325
411	12798	18266
412	12809	18205
413	12819	18145
414	12830	18085
415	12841	18026
416	12851	17967
417	12861	17907
418	12871	17848
419	12883	17791
420	12893	17732
421	12903	17673
422	12913	17615
423	12923	17556
424	12934	17499
425	12944	17442
426	12956	17386
427	12968	17331
428	12979	17275
429	12989	17218
430	12999	17161
431	13010	17106
432	13021	17051
433	13032	16996
434	13044	16942
435	13056	16889
436	13066	16834
437	13077	16779
438	13087	16725
439	13098	16670
440	13108	16616
441	13119	16562
442	13129	16507
443	13139	16454
444	13150	16401
445	13161	16348
446	13172	16296
447	13183	16243
448	13193	16191
449	13204	16138
450	13214	16086
451	13225	16034
452	13236	15982
453	13246	15930
454	13256	15878
455	13267	15828
456	13278	15776
457	13288	15725
458	13298	15674
459	13309	15624
460	13319	15573
461	13329	15522
462	13340	15472
463	13351	15423
464	13362	15373
465	13372	15323
466	13383	15274
467	13393	15225
468	13403	15175
469	13414	15126
470	13424	15077
471	13434	15028
472	13446	14981
473	13456	14932
474	13466	14884
475	13478	14837
476	13488	14788
477	13498	14740
478	13508	14692
479	13519	14646
480	13530	14599
481	13540	14552
482	13551	14505
483	13562	14459
484	13572	14412
485	13583	14365
486	13593	14318
487	13604	14273
488	13614	14226
489	13625	14181
490	13635	14135
491	13646	14090
492	13656	14044
493	13667	13999
494	13678	13954
495	13689	13910
496	13700	13865
497	13710	13820
498	13720	13775
499	13731	13731
500	13741	13686
501	13752	13642
502	13763	13599
503	13773	13554
504	13783	13510
505	13793	13465
506	13802	13420
507	13812	13377
508	13821	13332
509	13830	13287
510	13839	13243
511	13848	13199
512	13858	13155
513	13867	13112
514	13876	13068
515	13885	13024
516	13894	12981
517	13904	12937
518	13913	12894
519	13922	12851
520	13931	12808
521	13941	12766
522	13950	12723
523	13960	12681
524	13969	12639
525	13978	12596
526	13987	12554
527	13997	12512
528	14006	12470
529	14015	12428
530	14025	12388
531	14034	12346
532	14043	12304
533	14053	12263
534	14062	12222
535	14071	12181
536	14081	12140
537	14090	12100
538	14099	12059
539	14109	12019
540	14120	11980
541	14130	11940
542	14141	11901
543	14151	11862
544	14161	11822
545	14170	11782
546	14179	11743
547	14188	11703
548	14198	11663
549	14206	11623
550	14215	11584
551	14225	11544
552	14234	11505
553	14243	11466
554	14252	11427
555	14261	11388
556	14270	11350
557	14280	11311
558	14289	11273
559	14298	11234
560	14307	11196
561	14317	11158
562	14327	11120
563	14337	11083
564	14347	11046
565	14356	11008
566	14366	10970
567	14375	10933
568	14384	10895
569	14392	10857
570	14401	10820
571	14410	10782
572	14419	10745
573	14428	10708
574	14437	10671
575	14446	10634
576	14455	10597
577	14464	10560
578	14473	10523
579	14482	10487
580	14492	10451
581	14501	10415
582	14510	10378
583	14519	10342
584	14529	10307
585	14538	10271
586	14548	10235
587	14557	10199
588	14566	10164
589	14575	10129
590	14584	10093
591	14593	10057
592	14602	10022
593	14612	9987
594	14622	9952
595	14631	9917
596	14640	9882
597	14648	9847
598	14659	9813
599	14668	9778
600	14677	9744
601	14686	9709
602	14695	9675
603	14704	9640
604	14713	9606
605	14722	9572
606	14731	9538
607	14741	9504
608	14751	9470
609	14760	9437
610	14770	9403
611	14779	9370
612	14789	9336
613	14798	9303
614	14806	9269
615	14815	9235
616	14825	9202
617	14834	9169
618	14842	9135
619	14851	9102
620	14860	9069
621	14869	9036
622	14878	9003
623	14887	8970
624	14896	8937
625	14905	8905
626	14914	8872
627	14924	8840
628	14933	8808
629	14942	8775
630	14952	8744
631	14961	8711
632	14971	8679
633	14980	8647
634	14988	8615
635	14998	8584
636	15007	8552
637	15016	8520
638	15025	8488
639	15035	8457
640	15044	8425
641	15053	8394
642	15062	8362
643	15071	8331
644	15081	8300
645	15090	8269
646	15099	8238
647	15108	8207
648	15118	8176
649	15126	8145
650	15135	8114
651	15145	8083
652	15155	8053
653	15166	8024
654	15176	7993
655	15185	7962
656	15194	7932
657	15203	7902
658	15213	7872
659	15221	7841
660	15231	7811
661	15240	7781
662	15250	7751
663	15259	7721
664	15267	7691
665	15276	7661
666	15286	7631
667	15295	7601
668	15303	7571
669	15312	7542
670	15321	7512
671	15331	7483
672	15339	7453
673	15348	7423
674	15357	7394
675	15366	7364
676	15376	7336
677	15384	7306
678	15393	7277
679	15402	7248
680	15411	7219
681	15422	7191
682	15431	7162
683	15440	7133
684	15449	7104
685	15459	7076
686	15468	7047
687	15478	7019
688	15487	6990
689	15496	6962
690	15505	6933
691	15515	6905
692	15524	6877
693	15533	6849
694	15542	6821
695	15552	6792
696	15561	6764
697	15570	6736
698	15579	6708
699	15588	6680
700	15597	6652
701	15606	6625
702	15616	6597
703	15625	6569
704	15634	6542
705	15643	6514
706	15653	6487
707	15662	6459
708	15671	6432
709	15680	6404
710	15689	6377
711	15698	6350
712	15707	6322
713	15716	6295
714	15725	6268
715	15734	6241
716	15743	6213
717	15753	6187
718	15762	6160
719	15771	6133
720	15780	6106
721	15789	6079
722	15799	6053
723	15808	6026
724	15817	5999
725	15826	5973
726	15836	5946
727	15845	5920
728	15854	5893
729	15864	5867
730	15873	5841
731	15883	5815
732	15892	5788
733	15903	5763
734	15914	5738
735	15925	5712
736	15934	5686
737	15943	5660
738	15952	5634
739	15962	5608
740	15971	5582
741	15980	5556
742	15989	5530
743	15999	5505
744	16009	5479
745	16018	5453
746	16027	5428
747	16036	5402
748	16045	5377
749	16054	5351
750	16063	5325
751	16072	5300
752	16080	5274
753	16090	5249
754	16098	5224
755	16107	5198
756	16116	5173
757	16125	5148
758	16134	5123
759	16144	5098
760	16155	5073
761	16165	5049
762	16176	5024
763	16188	5000
764	16200	4976
765	16212	4952
766	16224	4928
767	16236	4904
768	16245	4880
769	16254	4855
770	16264	4830
771	16273	4806
772	16282	4781
773	16291	4757
774	16301	4732
775	16310	4708
776	16319	4683
777	16328	4659
778	16337	4634
779	16347	4610
780	16356	4586
781	16365	4562
782	16374	4538
783	16384	4514
784	16393	4490
785	16403	4465
786	16412	4442
787	16421	4417
788	16430	4394
789	16439	4370
790	16448	4346
791	16458	4322
792	16469	4299
793	16479	4275
794	16489	4252
795	16499	4228
796	16508	4204
797	16517	4181
798	16526	4157
799	16536	4134
800	16545	4110
801	16555	4087
802	16564	4063
803	16573	4040
804	16582	4016
805	16591	3993
806	16601	3970
807	16610	3947
808	16618	3923
809	16627	3900
810	16637	3877
811	16647	3854
812	16656	3831
813	16665	3807
814	16673	3784
815	16682	3761
816	16691	3738
817	16700	3715
818	16709	3692
819	16718	3669
820	16727	3647
821	16736	3624
822	16745	3601
823	16754	3578
824	16764	3556
825	16774	3533
826	16783	3511
827	16792	3488
828	16802	3465
829	16811	3443
830	16820	3420
831	16829	3398
832	16839	3375
833	16848	3353
834	16858	3331
835	16866	3308
836	16875	3286
837	16884	3264
838	16895	3242
839	16904	3219
840	16913	3197
841	16922	3175
842	16932	3153
843	16941	3131
844	16950	3109
845	16960	3087
846	16969	3065
847	16978	3043
848	16987	3021
849	16997	2999
850	17005	2977
851	17015	2955
852	17025	2934
853	17035	2912
854	17044	2890
855	17052	2868
856	17061	2846
857	17070	2825
858	17079	2803
859	17088	2781
860	17096	2760
861	17105	2738
862	17115	2717
863	17124	2695
864	17133	2674
865	17143	2652
866	17152	2631
867	17161	2609
868	17170	2588
869	17179	2567
870	17189	2545
871	17198	2524
872	17207	2503
873	17216	2482
874	17226	2460
875	17236	2439
876	17245	2418
877	17255	2397
878	17264	2376
879	17274	2355
880	17283	2334
881	17292	2313
882	17301	2292
883	17311	2271
884	17320	2250
885	17329	2229
886	17338	2208
887	17347	2187
888	17357	2167
889	17366	2146
890	17375	2125
891	17384	2104
892	17393	2084
893	17403	2063
894	17412	2042
895	17422	2022
896	17431	2001
897	17441	1981
898	17450	1960
899	17459	1939
900	17468	1919
901	17478	1898
902	17487	1878
903	17496	1858
904	17505	1837
905	17515	1817
906	17524	1796
907	17533	1776
908	17542	1756
909	17551	1735
910	17559	1715
911	17568	1695
912	17577	1674
913	17586	1654
914	17595	1634
915	17604	1614
916	17613	1594
917	17622	1574
918	17632	1554
919	17641	1534
920	17650	1514
921	17659	1494
922	17669	1474
923	17678	1454
924	17687	1434
925	17697	1414
926	17706	1394
927	17715	1374
928	17725	1354
929	17734	1334
930	17743	1315
931	17752	1295
932	17761	1275
933	17770	1255
934	17781	1236
935	17790	1216
936	17799	1196
937	17808	1177
938	17818	1157
939	17827	1137
940	17836	1118
941	17845	1098
942	17853	1079
943	17862	1059
944	17872	1040
945	17881	1020
946	17891	1001
947	17900	981
948	17909	962
949	17919	943
950	17928	923
951	17937	904
952	17946	885
953	17955	865
954	17964	846
955	17972	827
956	17981	807
957	17991	788
958	17999	769
959	18008	750
960	18016	731
961	18026	712
962	18035	692
963	18044	673
964	18053	654
965	18062	635
966	18072	616
967	18081	597
968	18090	578
969	18099	559
970	18109	540
971	18119	521
972	18129	503
973	18138	484
974	18147	465
975	18158	446
976	18167	427
977	18176	408
978	18186	390
979	18196	371
980	18205	352
981	18214	333
982	18223	315
983	18232	296
984	18242	277
985	18251	259
986	18260	240
987	18269	221
988	18279	203
989	18288	184
990	18297	166
991	18306	147
992	18315	129
993	18325	110
994	18335	92
995	18344	73
996	18352	55
997	18361	36
998	18370	18
999	18379	0
